cmd,circFlow,pressureFlow,valve1,valve2,valve3,valve4,valve5,valve6,valve7,valve8,valve9,valve10,airpump1,airpump2,pressureSP,oxySP,pressureKp,pressureKi,pressureKd,oxyKp,oxyKi,oxyKd,pump2Dir,pump1Dir,tube_bore,pump_2_speed_ratio,as_id,as_cmd,hold_time_hrs,wristCmd,transTimeSec
int,int,int,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,double,double,double,double,double,double,double,double,bool,bool,int,float,int,int,int,int,int
0,10000,10000,1,1,1,1,0,1,1,1,0,0,0,0,200,150,2,5,1,1,2,0,1,1,1,1,1,0,1,4,5
0,20000,20000,1,1,1,1,0,1,1,1,0,0,0,0,200,150,2,5,1,1,2,0,1,1,1,1,1,0,1,4,5
0,30000,30000,1,1,1,1,0,1,1,1,0,0,0,0,200,150,2,5,1,1,2,0,1,1,1,1,1,0,1,4,5
0,40000,40000,1,1,1,1,0,1,1,1,0,0,0,0,200,150,2,5,1,1,2,0,1,1,1,1,1,0,1,4,5
0,50000,50000,1,1,1,1,0,1,1,1,0,0,0,0,200,150,2,5,1,1,2,0,1,1,1,1,1,0,1,4,5
