cmd,circFlow,pressureFlow,valve1,valve2,valve3,valve4,valve5,valve6,valve7,valve8,valve9,valve10,airpump1,airpump2,pressureSP,oxySP,pressureKp,pressureKi,pressureKd,oxyKp,oxyKi,oxyKd,pump2Dir,pump1Dir,tube_bore,pump_2_speed_ratio,as_id,cmd,hold_time_hrs,wristCmd,transTimeSec
int,int,int,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,double,double,double,double,double,double,double,double,bool,bool,int,float,int,int,int,int,int
0,2000,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0.2,0.05,0.01,1,1,1,1,0,0,0,0,10
0,2000,-1,0,0,0,0,0,0,0,0,0,0,0,0,300,400,1,0,0,0.2,0.05,0.01,1,1,1,1,0,0,0,0,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0.2,0.05,0.01,1,1,1,1,0,0,0,0,5
