TIME,NULLEADER,MODUID,COMMAND,STATEID,OXYMEASURED,PRESSUREMEASURED,FLOWMEASURED,TEMPMEASURED,CIRCPUMPSPEED,PRESSUREPUMPSPEED,PRESSUREPID,PRESSURESETPOINT,PRESSUREKP,PRESSUREKI,PRESSUREKD,OXYGENPID,OXYGENSETPOINT,OXYGENKP,OXYGENKI,OXYGENKD,OXYGENMEASURED1,OXYGENMEASURED2,OXYGENMEASURED3,OXYGENMEASURED4,NULLTRAILER,PARSED_TIME
2025-05-31 04:27:19,0,3006,1515,0.0,0.0,6.278503,129.668,40.77,406.0,385.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.23,207.03,107.72,0.0,0,
2025-05-31 16:05:19,0,3006,1515,0.0,0.0,15.35535,1.348,41.285,406.0,385.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.23,197.72,147.22,0.0,0,
